"","X","Language","World.Region","Language.Family","Latitude","Longitude","class"
"58",101,"Biblical Hebrew","Western Asia","Afro-Asiatic",40.605168,-73.966359,"Asia"
"59",102,"Biblical Hebrew","Western Asia","Afro-Asiatic",40.09663762,-74.22234516,"Asia"
"60",103,"Biblical Hebrew","Western Asia","Afro-Asiatic",40.850656,-73.929868,"Asia"
"61",104,"Bicolano","Southeastern Asia","Austronesian",40.690666,-74.015281,"Asia"
"62",105,"Bicolano","Southeastern Asia","Austronesian",40.74335,-73.910485,"Asia"
"63",106,"Bishnupriya Manipuri","Southern Asia","Indo-European",40.710322,-73.791475,"Asia"
"64",110,"Bosnian","Southern Europe","Indo-European",40.772142,-73.927305,"Europe"
"65",111,"Bosnian","Southern Europe","Indo-European",40.860401,-74.852318,"Europe"
"66",112,"Bosnian","Southern Europe","Indo-European",40.694783,-73.832949,"Europe"
"67",117,"Breton","Western Europe","Indo-European",40.755764,-73.928146,"Europe"
"68",118,"Breton","Western Europe","Indo-European",40.763304,-73.986284,"Europe"
"69",120,"British English","Northern Europe","Indo-European",40.774731,-73.961174,"Europe"
"70",121,"Buginese","Southeastern Asia","Austronesian",40.758293,-73.911382,"Asia"
"71",122,"Buginese","Southeastern Asia","Austronesian",40.743338,-73.884818,"Asia"
"72",123,"Bukhori","Central Asia","Indo-European",40.721356,-73.846565,"Asia"
"73",124,"Bukhori","Central Asia","Indo-European",40.635082,-73.968348,"Asia"
"74",125,"Bukhori","Central Asia","Indo-European",40.757707,-73.980755,"Asia"
"75",126,"Bulgarian","Eastern Europe","Indo-European",40.765513,-73.994027,"Europe"
"76",127,"Bulgarian","Eastern Europe","Indo-European",40.860271,-73.911578,"Europe"
"77",128,"Bulgarian Turkish","Southern Europe","Turkic",40.612505,-73.979183,"Europe"
"78",130,"Bumthang","Southern Asia","Sino-Tibetan",40.741797,-73.918215,"Asia"
"79",131,"Burmese","Southeastern Asia","Sino-Tibetan",40.743865,-73.891614,"Asia"
"80",132,"Burmese","Southeastern Asia","Sino-Tibetan",40.30188264,-74.34145663,"Asia"
"81",133,"Burmese","Southeastern Asia","Sino-Tibetan",40.757774,-73.981108,"Asia"
"82",134,"Burmese","Southeastern Asia","Sino-Tibetan",40.680147,-73.969152,"Asia"
"83",135,"Burushaski","Southern Asia","Burushaski",40.72364,-73.70576,"Asia"
"84",136,"Buryat","Eastern Europe","Mongolic",40.577059,-73.964834,"Europe"
"85",137,"Bzedukh","Western Asia","Abkhaz-Adyge",40.937197,-74.201826,"Asia"
"86",141,"Cantonese","Eastern Asia","Sino-Tibetan",40.615076,-73.989458,"Asia"
"87",142,"Cantonese","Eastern Asia","Sino-Tibetan",40.715718,-73.999924,"Asia"
"88",143,"Cantonese","Eastern Asia","Sino-Tibetan",40.761066,-73.830145,"Asia"
"89",144,"Cantonese","Eastern Asia","Sino-Tibetan",40.96301562,-74.117481,"Asia"
"90",145,"Cantonese","Eastern Asia","Sino-Tibetan",40.59260888,-74.15852177,"Asia"
"91",146,"Cantonese","Eastern Asia","Sino-Tibetan",40.638684,-74.006304,"Asia"
"92",149,"Castilian Spanish","Southern Europe","Indo-European",40.833398,-73.946913,"Europe"
"93",150,"Castilian Spanish","Southern Europe","Indo-European",40.739387,-74.001223,"Europe"
"94",151,"Catalan","Southern Europe","Indo-European",40.750405,-73.976981,"Europe"
"95",152,"Cebuano","Southeastern Asia","Austronesian",40.729515,-73.981922,"Asia"
"96",153,"Cebuano","Southeastern Asia","Austronesian",40.751374,-73.898383,"Asia"
"97",156,"Central Malay","Southeastern Asia","Austronesian",40.727711,-73.978099,"Asia"
"98",158,"Chak","Southern Asia","Sino-Tibetan",40.754576,-73.89183,"Asia"
"99",159,"Chakhar Mongolian","Eastern Asia","Mongolic",40.64087798,-74.0046173,"Asia"
"100",160,"Chakma","Southern Asia","Indo-European",40.754722,-73.893068,"Asia"
"101",161,"Chaldean Neo-Aramaic","Western Asia","Afro-Asiatic",40.627011,-74.02639,"Asia"
"102",162,"Chamling","Southern Asia","Sino-Tibetan",40.749733,-73.891304,"Asia"
"103",164,"Changzhounese","Eastern Asia","Sino-Tibetan",40.75435,-73.821043,"Asia"
"104",165,"Chantyal","Southern Asia","Sino-Tibetan",40.746817,-73.892825,"Asia"
"105",167,"Chavacano","Southeastern Asia","Indo-European",40.746403,-73.906185,"Asia"
"106",168,"Chechen","Eastern Europe","Nakh-Daghestanian",40.579084,-73.965674,"Europe"
"107",176,"Chittagonian","Southern Asia","Indo-European",40.644528,-73.980279,"Asia"
"108",177,"Chocha-ngacha","Southern Asia","Sino-Tibetan",40.741548,-73.917924,"Asia"
"109",179,"Church Slavonic","Eastern Europe","Indo-European",40.673164,-73.895723,"Europe"
"110",180,"Church Slavonic","Eastern Europe","Indo-European",40.784829,-73.954211,"Europe"
"111",182,"Chuvash","Eastern Europe","Turkic",40.578158,-73.95853,"Europe"
"112",183,"Cilentano","Southern Europe","Indo-European",40.59926696,-73.97477267,"Europe"
"113",184,"Cilentano","Southern Europe","Indo-European",40.789486,-73.81661,"Europe"
"114",185,"Cilentano","Southern Europe","Indo-European",40.717252,-73.94453,"Europe"
"115",186,"Classical Arabic","Western Asia","Afro-Asiatic",40.785419,-73.948707,"Asia"
"116",187,"Classical Arabic","Western Asia","Afro-Asiatic",40.813904,-73.881714,"Asia"
"117",188,"Classical Arabic","Western Asia","Afro-Asiatic",40.712551,-73.795818,"Asia"
"118",189,"Classical Arabic","Western Asia","Afro-Asiatic",40.662943,-73.995138,"Asia"
"119",190,"Classical Armenian","Western Asia","Indo-European",40.772334,-73.747622,"Asia"
"120",191,"Classical Armenian","Western Asia","Indo-European",40.745201,-73.975347,"Asia"
"121",192,"Classical Latin","Southern Europe","Indo-European",40.723281,-74.006397,"Europe"
"122",193,"Classical Tibetan","Eastern Asia","Sino-Tibetan",40.701982,-73.982961,"Asia"
"123",194,"Classical Tibetan","Eastern Asia","Sino-Tibetan",40.744733,-73.889909,"Asia"
"124",195,"Tibetan","Eastern Asia","Sino-Tibetan",40.73713,-73.994551,"Asia"
"125",200,"Cretan Greek","Southern Europe","Indo-European",40.774691,-73.910252,"Europe"
"126",201,"Crimean Tatar","Eastern Europe","Turkic",40.639556,-73.994206,"Europe"
"127",202,"Croatian","Southern Europe","Indo-European",40.75475,-73.916819,"Europe"
"128",203,"Croatian","Southern Europe","Indo-European",40.91254111,-74.41046027,"Europe"
"129",204,"Croatian","Southern Europe","Indo-European",40.759062,-73.996447,"Europe"
"130",209,"Cypriot Greek","Southern Europe","Indo-European",40.770451,-73.920428,"Europe"
"131",210,"Czech","Eastern Europe","Indo-European",40.772692,-73.915752,"Europe"
"132",211,"Czech","Eastern Europe","Indo-European",40.768978,-73.956433,"Europe"
"133",215,"Danish","Western Europe","Indo-European",40.70736718,-74.01190379,"Europe"
"134",216,"Danish","Western Europe","Indo-European",40.633425,-74.013525,"Europe"
"135",217,"Danube Swabian","Western Europe","Indo-European",40.707523,-73.907436,"Europe"
"136",219,"Dari","Southern Asia","Indo-European",40.75536495,-73.50985206,"Asia"
"137",220,"Dari","Southern Asia","Indo-European",40.730073,-73.815297,"Asia"
"138",221,"Dari","Southern Asia","Indo-European",40.757282,-73.979858,"Asia"
"139",222,"Dawei Burmese","Southeastern Asia","Sino-Tibetan",40.7419715,-73.8909139,"Asia"
"140",223,"Dawei Burmese","Southeastern Asia","Sino-Tibetan",40.679355,-73.969275,"Asia"
"141",224,"Dhivehi","Southern Asia","Indo-European",40.750252,-73.972202,"Asia"
"142",226,"Dolpo","Southern Asia","Sino-Tibetan",40.741102,-73.890525,"Asia"
"143",236,"Dungan","Central Asia","Sino-Tibetan",40.587482,-73.955331,"Asia"
"144",237,"Dutch","Western Europe","Indo-European",40.703558,-74.012354,"Europe"
"145",238,"Dutch","Western Europe","Indo-European",40.672746,-73.976674,"Europe"
"146",239,"Dutch","Western Europe","Indo-European",40.690777,-73.813256,"Europe"
"147",243,"Dzongkha","Southern Asia","Sino-Tibetan",40.867499,-73.897842,"Asia"
"148",244,"Dzongkha","Southern Asia","Sino-Tibetan",40.741313,-73.917389,"Asia"
"149",245,"Eastern Armenian","Western Asia","Indo-European",40.588154,-73.950649,"Asia"
"150",247,"Ecclesiastical Latin","Southern Europe","Indo-European",40.676489,-73.985111,"Europe"
"151",248,"Ecclesiastical Latin","Southern Europe","Indo-European",40.752347,-73.988185,"Europe"
"152",267,"Emiliano","Southern Europe","Indo-European",40.711175,-73.995525,"Europe"
"153",268,"Emiliano","Southern Europe","Indo-European",40.58912355,-73.98725892,"Europe"
"154",270,"Estonian","Northern Europe","Uralic",40.761825,-73.922133,"Europe"
"155",271,"Estonian","Northern Europe","Uralic",40.745099,-73.976222,"Europe"
"156",275,"Falam Chin","Southeastern Asia","Sino-Tibetan",40.705194,-73.870511,"Asia"
"157",280,"Finnish","Northern Europe","Uralic",40.64464026,-73.99910117,"Europe"
"158",281,"Finnish","Northern Europe","Uralic",40.73357,-74.003746,"Europe"
"159",282,"Flemish","Western Europe","Indo-European",40.702045,-74.012598,"Europe"
"160",285,"French","Western Europe","Indo-European",40.80753,-73.954228,"Europe"
"161",286,"French","Western Europe","Indo-European",40.74354029,-73.99371622,"Europe"
"162",287,"French","Western Europe","Indo-European",40.68478398,-73.99210325,"Europe"
"163",288,"French","Western Europe","Indo-European",40.826133,-73.923046,"Europe"
"164",289,"French","Western Europe","Indo-European",40.644444,-73.940902,"Europe"
"165",290,"French","Western Europe","Indo-European",40.92718839,-73.75057897,"Europe"
"166",291,"French","Western Europe","Indo-European",40.717258,-73.737712,"Europe"
"167",293,"Frisian","Western Europe","Indo-European",40.704057,-74.013179,"Europe"
"168",294,"Friulian","Southern Europe","Indo-European",40.781529,-73.841491,"Europe"
"169",295,"Friulian","Southern Europe","Indo-European",40.745099,-73.976722,"Europe"
"170",296,"Fujianese","Eastern Asia","Sino-Tibetan",40.609894,-73.990412,"Asia"
"171",297,"Fujianese","Eastern Asia","Sino-Tibetan",40.759697,-73.82916,"Asia"
"172",298,"Fujianese","Eastern Asia","Sino-Tibetan",40.714067,-73.989879,"Asia"
"173",299,"Fujianese","Eastern Asia","Sino-Tibetan",40.636647,-74.006622,"Asia"
"174",306,"Galician","Southern Europe","Indo-European",40.762018,-73.918281,"Europe"
"175",307,"Galician","Southern Europe","Indo-European",40.730751,-74.166664,"Europe"
"176",308,"Galician","Southern Europe","Indo-European",40.740253,-74.004361,"Europe"
"177",309,"Gan","Eastern Asia","Sino-Tibetan",40.749909,-73.819525,"Asia"
"178",314,"Garo","Southern Asia","Sino-Tibetan",40.680108,-73.84699,"Asia"
"179",318,"Georgian","Western Asia","Kartvelian",40.610953,-73.983515,"Asia"
"180",319,"Georgian","Western Asia","Kartvelian",40.734064,-73.852919,"Asia"
"181",320,"Georgian","Western Asia","Kartvelian",40.54184734,-74.58871898,"Asia"
"182",321,"German","Western Europe","Indo-European",40.69679,-73.993207,"Europe"
"183",322,"German","Western Europe","Indo-European",40.727092,-73.980529,"Europe"
"184",323,"German","Western Europe","Indo-European",40.74357842,-74.028147,"Europe"
"185",324,"German","Western Europe","Indo-European",40.706923,-73.905661,"Europe"
"186",325,"German","Western Europe","Indo-European",40.777284,-73.948524,"Europe"
"187",326,"Ghale","Southern Asia","Sino-Tibetan",40.748822,-73.895484,"Asia"
"188",334,"Gottscheerisch","Western Europe","Indo-European",40.706723,-73.905661,"Europe"
"189",336,"Greek","Southern Europe","Indo-European",40.775643,-73.912874,"Europe"
"190",337,"Greek","Southern Europe","Indo-European",40.757729,-73.785225,"Europe"
"191",338,"Greek","Southern Europe","Indo-European",40.627234,-74.030195,"Europe"
"192",339,"Greek","Southern Europe","Indo-European",40.749612,-73.995466,"Europe"
"193",340,"Greek","Southern Europe","Indo-European",40.87593,-73.903766,"Europe"
"194",348,"Gujarati","Southern Asia","Indo-European",40.740641,-73.79204,"Asia"
"195",349,"Gujarati","Southern Asia","Indo-European",40.532153,-74.377658,"Asia"
"196",350,"Gujarati","Southern Asia","Indo-European",40.73574046,-74.06411108,"Asia"
"197",351,"Gujarati","Southern Asia","Indo-European",40.757412,-73.980267,"Asia"
"198",352,"Gulf Arabic","Western Asia","Afro-Asiatic",40.754919,-73.979605,"Asia"
"199",357,"Gurjar","Southern Asia","Indo-European",40.70855637,-73.90905568,"Asia"
"200",359,"Gurung","Southern Asia","Sino-Tibetan",40.755862,-73.896074,"Asia"
"201",360,"Gurung","Southern Asia","Sino-Tibetan",40.698455,-73.908886,"Asia"
"202",365,"Gyalsumdo","Southern Asia","Sino-Tibetan",40.746772,-73.901763,"Asia"
"203",366,"Hainanese (Southern Min)","Eastern Asia","Sino-Tibetan",40.690499,-73.990459,"Asia"
"204",374,"Hakha Chin","Southeastern Asia","Sino-Tibetan",40.705229,-73.870328,"Asia"
"205",375,"Hakka","Eastern Asia","Sino-Tibetan",40.714311,-73.994229,"Asia"
"206",376,"Hakka","Eastern Asia","Sino-Tibetan",40.760818,-73.833342,"Asia"
